names,degrees,betweenness,eigenvector
Canterbury,4,0.013037350246652568,0.16670711099401223
Ely,2,0.0,0.06972743856607859
Exeter,11,0.1219344608879492,0.3155442731014889
KingHenry,25,0.7189570119802678,0.5338597152945613
Westmorland,6,0.012385482734319938,0.23385166713203945
Ambassador,1,0.0,0.07718975816431158
Bardolph,4,0.0,0.059455289092991775
Nym,4,0.0,0.059455289092991775
Pistol,8,0.16571529245947858,0.17986053291368473
Hostess,4,0.0,0.059455289092991775
Boy,7,0.013847780126849896,0.11242163408498225
Bedford,4,0.0010570824524312897,0.12440845858542132
Scroop,4,0.003946441155743482,0.15656020009480467
Cambridge,3,0.0,0.11669980886076012
Grey,3,0.0,0.11669980886076012
Dauphin,6,0.07492952783650461,0.10936803098828893
FrenchKing,8,0.2658033826638477,0.23231605512825376
Constable,8,0.14485553206483442,0.07565986372953286
1Messenger,1,0.0,0.03358993557583603
Fluellen,8,0.10200845665961947,0.19024987509214147
Gower,7,0.05655391120507397,0.1867748810712997
Jamy,3,0.0,0.06372870548671139
Macmorris,3,0.0,0.06372870548671139
Governor,1,0.0,0.07718975816431158
Alice,3,0.0,0.13156982091241498
Katherine,3,0.0,0.13156982091241498
Brittany,3,0.0,0.060342495371512456
Montjoy,2,0.0,0.10180443726201678
Gloucester,5,0.012138830162085976,0.1702406681194382
Orleans,5,0.005461592670894996,0.037308609022141656
Rambures,4,0.0019027484143763216,0.035245306067346924
2Messenger,3,0.0,0.02142969184175537
Erpingham,2,0.0,0.10180443726201678
Court,2,0.0,0.09339517106882754
Bates,3,0.0005285412262156448,0.11207966849329233
Williams,4,0.00306553911205074,0.14790926475296173
Grandpre,1,0.0,0.010939395803038899
Salisbury,3,0.005972515856236786,0.1408012965310637
York,1,0.0,0.07718975816431158
FrenchSoldier,2,0.0,0.04226154479568971
Bourbon,2,0.0,0.016333706191981663
Warwick,1,0.0,0.027508274986046567
Herald,1,0.0,0.07718975816431158
QueenIsabel,7,0.022198731501057084,0.24453496593033597
Burgundy,2,0.0,0.11254643953227486
